disease,symptoms
allergy,i have a stuffy nose and a blocked nose i also have stiffness and chest pain at night i cant taste or smell anything
dengue,i have a skin rash that is red and swollen i also have a severe fever and body pain
arthritis,ive been having a lot of pain in my joints especially my knees and hips its hard for me to move around and im always feeling stiff ive also been having a lot of trouble sleeping because of the pain
chicken pox,i have a lot of small red bumps all over my body theyre itchy and uncomfortable im worried about what they could be
fungal infection,i have a rash that looks red and inflamed discoloured areas of skin that are different colours from the rest of my skin and itching on my skin
allergy,i feel tired all the time and my throat feels tingly i also have dry flaky skin sometimes my eyes get puffy and my face swells up too
common cold,ive been feeling really run down lately ive been having a lot of trouble breathing and my nose is constantly running i also have a lot of throat mucus and my lymph nodes are inflamed
jaundice,ive been feeling really itchy sick to my stomach and tired ive also had a fever and lost weight my skin and urine have turned yellow and my stomach hurts
common cold,ive had a nasty cough and cold for days my nose is stuffy and my sinuses are congested ive also been coughing up mucus and it hurts my chest to cough i cant smell anything and my muscles are aching
psoriasis,i have been having rashes on my skin the rash is itchy and bleeds when i scratch it i have also noticed small dents in my nails
allergy,i feel like im always tired and i have a tickle in my throat my skin is also dry and i sometimes get swelling around my eyes
arthritis,ive been having a lot of pain in my joints especially my knees and hips ive also been feeling really stiff and its hard to move around
typhoid,ive been having a hard time going to the bathroom and my stomach has been hurting i also had a fever last night
varicose veins,i have noticed that the blood vessels in my legs are getting more noticeable than usual it is a little concerning to me moreover i am experiencing cramps every day
typhoid,ive been vomiting and having diarrhea for a few days ive been having trouble keeping hydrated because of it i also have a mild fever and constipation my head hurts a little bit too
bronchial asthma,ive been having a persistent cough trouble breathing and fatigue i have a fever and ive been coughing up a lot of thick mucusy sputum i feel pretty sick because of how tired and drained i am
bronchial asthma,ive been having a dry cough breathing difficulties and a high fever im also producing a lot of mucous and feel incredibly weak and tired
hypertension,i was working out and suddenly felt a headache chest pain and dizziness i have been having trouble keeping my balance since then
urinary tract infection,i have to go to the bathroom a lot but only a little comes out my stomach hurts and i cant control my need to pee
migraine,ive been having headaches and blurry vision and ive also been getting acid reflux and indigestion after i eat
dengue,i have a headache and my eyes hurt i have red spots on my neck and face and rashes on my arms my arms and legs hurt a lot the spots are itchy and uncomfortable
migraine,ive been having headaches and my vision has been blurry
cervical spondylosis,i have been having a lot of pain in my back and neck i have also been coughing a lot and i feel weak i have been dizzy and i have trouble standing up straight
cervical spondylosis,ive been having periodic coughing fits terrible back pain and limb weakness ive been feeling neck pain as well as a dizzy and unstable sensation
fungal infection,ive been having a lot of itching and rashes on my skin there are also some strange patches of skin that are a different color than the rest of me and sometimes i get little bumps that look like nodules
chicken pox,i have red itchy bumps all over my body theyre especially bad on my arms and legs i also have a headache and a fever i dont feel like eating anything and have lost my appetite
pneumonia,im having trouble breathing and im sweating a lot my throat is really sore and i have a lot of mucus my heart is racing and my chest hurts im coughing up red stuff
fungal infection,i have a rash all over my body that is very itchy it is red and bumpy and there are some darkened spots and a few tiny nodular breakouts it has been happening for several days and is getting worse
fungal infection,ive been scratching myself a lot lately and my skin is covered in rashy places there are a few spots where my skin doesnt appear to be its usual shade and ive experienced a few lumps that are quite painful
drug reaction,i have a metallic taste in my mouth and my sense of taste and smell have changed i also have joint and muscle pain
allergy,my skin is itchy and red sometimes it can peel my lips and cheeks swell and it is really annoying i sometimes get headaches and watery eyes because of the swelling
cervical spondylosis,ive been having coughing fits back pain and weakness in my arms and legs ive also been having neck pain and dizziness
gastroesophageal reflux disease,i have trouble swallowing and i dont feel like eating i often feel full even after eating just a little i also have heartburn nausea and tingling in my throat
arthritis,my neck has been very tight and my muscles have felt quite weak recently its tough for me to move around without getting stiff because of my swollen joints walking has also been very uncomfortable
chicken pox,i have a rash on my arms and neck that itches like crazy ive been feeling really uncomfortable all day
psoriasis,i have red itchy and scaly patches on my skin they are often on my genitals but i also have them on other parts of my body they are sometimes painful and uncomfortable
arthritis,i have been experiencing a lot of pain in my joints especially my knees and hips i also have a lot of stiffness in my neck and shoulders i have been having trouble walking and doing other activities that i used to be able to do without any pain
bronchial asthma,ive been coughing a lot and im really tired i have a fever and its hard to breathe i also cough up a lot of mucous
pneumonia,ive been having a lot of trouble breathing lately and ive been coughing up a lot of phlegm ive also been feeling really tired and weak and ive been having chills and a fever my chest hurts and my heart is racing
allergy,i have a lot of sneezing and a sore throat my lips and the area around my eyes sometimes swell up i cant stop sneezing once i start
varicose veins,i have a bruise on my leg and the skin around the veins is dry and flaky my legs have started to swell
bronchial asthma,ive been having trouble breathing and ive been coughing a lot ive also been running a fever and im feeling really tired im not sure whats going on but im worried
urinary tract infection,i have blood in my urine and sometimes feel sick when i pee i also have a high fever at night and my pee smells bad
common cold,ive been feeling really sick lately my nose is running like crazy and i cant stop sneezing im also exhausted and have a fever
drug reaction,i have rashes on my chest and back and i itch all over my body i sometimes have flaky skin which often leaves marks on my body
drug reaction,i have a hard time concentrating and my mind is not clear i have trouble remembering things and i forget things a lot
bronchial asthma,i have been having a hard time breathing lately i have a dry cough and i am coughing up a lot of mucus i also have a fever and i am feeling very weak and tired
drug reaction,i have a rash on my back and chest and my skin is itchy sometimes my skin is dry and flaky which often results in body stains
cervical spondylosis,ive been having a lot of back pain and my neck hurts too ive also been feeling lightheaded and unsteady and my arms and legs are numb
bronchial asthma,i have a bad cough and im really tired i have a high fever and my breathing is shallow when i cough a lot of saliva comes out
drug reaction,i have a rash on my back and chest and my entire body itches my skin may be dry and flaky at times which frequently leaves marks on my body
typhoid,i have been having constipation and stomach ache for a few days now it is really uncomfortable and it is starting to affect my everyday life
drug reaction,im not interested in sex anymore and its hard for me to get aroused i also have brain fog and feel confused a lot
drug reaction,i have a fever and i feel really lightheaded and woozy my heart is pounding and my head is really foggy i cant think straight and everything looks blurry
jaundice,ive been feeling really sick and tired ive lost weight and have a fever my urine is dark and my skin is yellow i also have stomach pain
fungal infection,my skin has been acting up lately its been really itchy and ive been getting rashes some patches of my skin are a different color than the rest of my skin and i have some lumps or bumps on my skin that werent there before
gastroesophageal reflux disease,i have a burning sensation in my throat that comes and goes and its worse after i eat i also have a bitter or sour aftertaste in my mouth sometimes
cervical spondylosis,i have been having back pain a cough and weakness in my muscles my neck is sore and i have been dizzy and unsteady
jaundice,i have been having intense itching all over my body i have also been vomiting and feeling very tired i have lost a lot of weight and have a high fever my skin has turned yellow and my urine is dark i have also been having abdominal pain
pneumonia,im having trouble breathing and i feel really uncomfortable im sweating a lot and my throat is really sore my chest hurts and my heart is beating fast im coughing up a lot of mucus and its brown
arthritis,ive been experiencing stiffness in my neck and my joints have enlarged its been difficult for me to move and walking has been a challenge
chicken pox,ive been feeling really sick lately i have a fever and ive been getting these itchy red spots all over my body im not sure whats wrong with me but im worried
urinary tract infection,i have to go to the bathroom all the time but i only pee a little bit my stomach hurts a lot and i cant seem to control my urges to pee
chicken pox,i have little red spots all over my body i dont know what they are and they are worrying me i have also lost my appetite and every night i am exhausted and have a severe headache
migraine,i have a stiff neck and eye issues and ive been hungry all the time
urinary tract infection,i have blood in my urine and a lowgrade fever ive also been having headaches and a strong uncontrollable urge to urinate ive also started having lower back pain
psoriasis,my skin is dry and flaky and i get infections easily my joints are in a lot of pain and the skin on my knees and elbows is peeling off
cervical spondylosis,ive been having a lot of pain in my neck and back i also feel dizzy and weak
diabetes,i have a dry cough that wont go away i also get infections that dont seem to heal and i have palpitations my throat hurts sometimes but it gets better
arthritis,ive been feeling really weak in my muscles lately and my neck has been really stiff its been hard for me to move around because my joints are swollen and it hurts to walk
peptic ulcer disease,i have been having a lot of stomach pain and heartburn i also have been feeling very tired and have no appetite
typhoid,ive been feeling really sick for the past week ive been vomiting and having diarrhea and ive lost a lot of weight i also have a fever headache and stomach pain im really worried about my health
gastroesophageal reflux disease,i have a lot of gas and burping i have chest pain that goes up my neck and into my jaw and arm i feel like my chest is tight and heavy
diabetes,ive been having trouble seeing things clearly and it seems to be getting worse im also always tired and worn out and i get dizzy and lightheaded a lot
peptic ulcer disease,i have a gnawing hunger and apetite sometimes i get abdominal cramps and spasms there is bloating and gas after eating which causes me a great deal of uneasiness
impetigo,i have a fever and feel weak i have sores on my face that are itchy and painful they leak a yellow ooze
cervical spondylosis,i have been having back pain a hacking cough and weakness in my arms and legs i also have neck pain and have been dizzy and have trouble balancing
psoriasis,i have a silvery film on my skin particularly on my back arms and scalp its made up of tiny scales that easily peel off when i scratch it
diabetes,i have blurry vision and its getting worse im always tired and i get dizzy and lightheaded sometimes
peptic ulcer disease,i have a really strong appetite and im always hungry my stomach sometimes aches and cramps i have really painful gas and bloating after eating
malaria,ive been experiencing a high fever vomiting chills and severe itching i also have a headache and am sweating profusely my discomfort has also been accompanied by nausea and muscle pain
pneumonia,ive been coughing a lot recently and it hurts when i breathe deeply im also feeling really cold and tired and my heart is beating really fast when i cough i sometimes cough up phlegm thats a little bloody
dengue,i have a high fever and a headache my body hurts and i feel cold im worried about my health
arthritis,ive been having a lot of pain in my joints lately my neck has been really stiff and its hard for me to move it around my joints have been swelling up and its hard for me to move around without feeling stiff walking has been really painful too
dengue,i have been having a really bad headache that is behind my eyes i also have no appetite and feel really cold at night
chicken pox,i have a fever headache and i cant eat i feel like throwing up i also have some red spots on my arms
bronchial asthma,ive been having trouble breathing and ive been coughing a lot ive been coughing up a lot of thick mucoid sputum and have a high fever
impetigo,i have a rash on my skin that is made up of blisters the blisters are painful and they are filled with fluid i also have a fever
jaundice,i have been feeling really sick lately i have been itching all over and i have been vomiting i have also lost a lot of weight and i have a fever my skin has turned yellow and my urine is dark i have also been having abdominal pain
urinary tract infection,my pee is dark and bloody and has a very bad smell i have been having temperature fluctuations and cant sleep at night
drug reaction,i have been having migraines and headaches i cant sleep my whole body is shaking and shivering i feel dizzy sometimes
cervical spondylosis,i have been having a lot of pain in my neck and back i also have a dry cough and i feel weak and dizzy
gastroesophageal reflux disease,i have a burning feeling in my throat after i eat i also sometimes get a bitter or sour taste in my mouth which makes me feel sick
cervical spondylosis,i have a lot of pain in my neck and back i also feel weak and lightheaded ive been coughing up mucus
malaria,ive been having a fever chills and nausea ive also been sweating a lot and have a headache my muscles are sore and ive been scratching a lot
jaundice,ive been feeling really sick lately ive been itchy and throwing up and ive lost a lot of weight my skin has turned yellow and ive been having a high fever my stomach has also been hurting
dengue,i have been feeling nauseous and i have lost my appetite i also feel uneasy and have a pain in my back and muscles
chicken pox,ive been feeling really sick lately ive been having a lot of nausea and i feel really uneasy ive also noticed some rashes on my arms and legs ive lost my appetite and i feel exhausted every day
diabetes,i have slow healing of wounds and cuts i have this tingling sensation in my hand and numbness in both my hands and feet i also have a lot of thirst and im always tired
urinary tract infection,i have a burning sensation when i pee sometimes its really painful and my urine smells bad i have to pee more often especially at night
jaundice,ive been feeling really scratchy dizzy and worn out ive lost weight and have a fever my urine is dark and my skin has turned yellow i also get stomach pain
fungal infection,i have red blotches all over my body and they are itchy some of the patches are different colors than my skin and i have bumps on my skin
jaundice,i have been feeling really sick lately i have been vomiting i am tired all the time and i have lost a lot of weight my skin has turned yellow and my urine is dark i have also been having abdominal pain
cervical spondylosis,ive been having back pain a dry cough and weakness in my arms and legs ive also been feeling dizzy and unsteady on my feet and my neck hurts
jaundice,ive been feeling really sick and tired ive lost weight and have a fever my urine is dark and my skin is yellow ive also been having stomach pain
impetigo,i have a rash around my nose and lips that is red and painful it has some yellow fluid coming out of it
dengue,i have been having severe muscle pain for the past few days it feels like a constant ache there are also red spots all over my body and the itching is really bad
common cold,ive been feeling really sick lately ive been sneezing a lot and my nose is running my throat is also really scratchy and ive been feeling really tired
fungal infection,i have a rash on my skin that is very uncomfortable there are also some odd patches of a different color and some pimples that resemble little knots
hypertension,i have been feeling lightheaded and dizzy and i have also noticed that i have been getting headaches more frequently
drug reaction,i have terrible mental clarity and find it difficult to stay focused i regularly forget things and have problems remembering things i also have trouble concentrating and find it difficult to pay attention
jaundice,ive been feeling really scratchy dizzy and worn out ive lost weight and have a temperature my urine is dark and my skin has turned yellow i also have stomach pain
varicose veins,i have varicose veins in my legs they are very painful and make it difficult to sleep at night i also get cramps when i sprint
chicken pox,ive been feeling really sick and ive lost my appetite ive also noticed some red spots on my arms neck and face that itch when i touch them
allergy,i have difficulty breathing and shortness of breath i cough uncontrollably and my eyes get itchy and swell up i also get swelling on my face and other body parts
common cold,i feel weak and my lymph nodes are swollen my eyes burn and my throat hurts my sinuses are congested and my nose is stuffy i cant smell anything and my chest hurts
pneumonia,ive been having chills fatigue and a cough for a few days ive also been sweating a lot and feeling weak and unwell ive had some thick black phlegm and my chest hurts my heart has been racing too
common cold,ive been feeling really sick and exhausted lately my throat is scratchy and my nose is running a lot i also have a headache and my neck feels swollen
impetigo,i have a rash on my face and near my nose its been there for a few days and its starting to spread down my arms and legs
peptic ulcer disease,i have been having bloody stools for a while now and i am also feeling quite weak i think i may have anemia
peptic ulcer disease,i have a burning feeling in my stomach that is worse when i lie down i also have pain after eating certain foods like spicy or acidic foods sometimes i have loose stools after eating these foods
bronchial asthma,i have a cough that wont go away and im having trouble breathing im also really weak and tired and my fever is really high im coughing up a lot of mucus and im really angry and frustrated
urinary tract infection,i have been having a very low temperature and my pee smells really bad the area near my kidneys hurts a lot and i cant seem to hold my pee i often get these uncontrollable urges to go to the bathroom
migraine,i have been having headaches for a while now they are usually on the left side of my head and they are very painful i also get nauseous and dizzy when i have a headache
malaria,ive been feeling really unwell i have a headache and im perspiring a lot ive been uncomfortable from nausea and muscle ache too ive also been scratching a lot and i have chills and a high fever
bronchial asthma,i have been having high fever since past few days saliva also became thick dry cough weakness also seen
varicose veins,my legs are swollen and the veins are protruding from my skin they are painful and make it difficult to sleep at night
malaria,ive been having a fever vomiting chills and severe itching i also have a headache and am sweating a lot my discomfort has also been accompanied by nausea and muscle pain
malaria,ive been feeling really sick ive had a fever chills vomiting and severe itching ive also had a headache and ive been perspiring a lot ive been feeling really nauseous and my muscles ache
gastroesophageal reflux disease,i have a lot of heartburn especially after eating spicy or fatty foods my chest pain is worse when i hunch over or lie down
dengue,i have been vomiting frequently and have lost my appetite as a result there are rashes on my skin and my eyes pain because of which i cannot sleep properly
peptic ulcer disease,i have a burning sensation in my upper stomach that comes and goes i also have heartburn indigestion and nausea
allergy,im always exhausted and i feel like i have a tickle in my throat my skin is dry and my eyes sometimes swell up
urinary tract infection,ive been feeling really down lately and my pee smells like rotten eggs my kidney area hurts and i cant seem to hold my urine in i have to go to the bathroom all the time
impetigo,i have a rash on my face neck and arms its red and burning im worried about it
psoriasis,ive noticed a sudden peeling of skin on my arms legs and back i also have joint pain and skin rashes the rash is spreading to different parts of my body
fungal infection,i have a rash all over my body and its really itchy i have some bumps that are quite firm and some areas that are a darker shade from the rest of my skin its really unpleasant
gastroesophageal reflux disease,i have a sour taste in my mouth all the time even when i havent eaten anything acidic i also have a lump in my throat and the hiccups a lot
pneumonia,ive been feeling really unwell recently ive had a high temperature chills a cough and ive been struggling to breathe ive also been sweating a lot and feeling really weak and tired ive also had some thick red phlegm
diabetes,ive been feeling really thirsty and hungry lately ive also been feeling really tired
drug reaction,im losing hair and my hairs texture has changed a lot my dandruff is getting worse and my dry itchy scalp my skin is getting really dry too
malaria,ive been feeling really sick i have a high fever chills vomiting and severe itching i also have a headache excessive sweating nausea and muscle aches
cervical spondylosis,i have been having back pain a chronic cough and weakness in my limbs i have also been feeling disoriented and weak on my feet and my neck hurts
cervical spondylosis,i have been having back pain a cough and weakness in my muscles my neck hurts and i have been dizzy and have trouble balancing
varicose veins,i have itchy inflamed skin on my calves that is hard to sleep with im also concerned about the blood vessels that are protruding out
bronchial asthma,i have a fever and i cant breathe through my nose or mouth im tired and ive been coughing up mucus can you recommend some medications
pneumonia,im feeling really hot i cant breathe well im sweating a lot im shaking im really tired my heart is beating fast i have some brown stuff coming up when i cough
jaundice,i have been feeling very sick i have been vomiting and have a high fever my skin has become yellow and my urine is dark i also have abdominal pain
chicken pox,i have no appetite and i feel like vomiting i am also very tired i have rashes on my skin that are really concerning me
impetigo,i have a rash on my cheeks and nose that is spreading to my neck and chest i also have a fever
bronchial asthma,i have been coughing a lot lately and it is hard for me to breathe i also have a fever and i feel weak and tired
psoriasis,i have a rash on my skin that is itchy and uncomfortable i have also noticed small dents in my nails which is concerning
psoriasis,i have a rash on my arms and neck that bleeds and hurts when i scratch it i also have small dents in my nails
dengue,ive been feeling really cold and shivery my back and eyes hurt a lot ive also noticed some red spots on my back and neck
allergy,i have a stuffy nose and a blocked nose i also have stiffness and chest pain sometimes at night i cant taste or smell anything
chicken pox,i have a rash that is itchy and it is making it hard to sleep at night i have also lost my appetite and feel lethargic
diabetes,ive been feeling really tired lately ive also been losing weight and im always thirsty
psoriasis,i have thick cracked skin on my fingers and soles that hurts and bleeds frequently the skin is also itchy and covered with scales
peptic ulcer disease,i have been having bloody stools for a while now and i am also feeling weak i think i may have anaemia
cervical spondylosis,ive been having trouble with my neck its been hurting and ive been having trouble staying balanced ive also been having numbness in my arms and legs
hypertension,ive been having headaches and chest pains and ive also fainted a few times ive also noticed that its hard for me to focus
drug reaction,ive been having some weird changes in my monthly cycle and ive been having some unexpected vaginal discharge ive also been feeling really moody and agitated lately
bronchial asthma,ive been having trouble breathing lately ive been coughing a lot and my chest feels tight ive also been feeling very tired and weak
dengue,im experiencing extreme body pain headache and vomiting ive developed red spots all over my body and im very itchy
malaria,i have a high fever severe itching chills and vomiting i also have a headache and have been perspiring a lot additionally i have been nauseous and my muscles hurt
typhoid,i have been having a stomach ache for the past week it is not getting better even with medication i feel like vomiting and i cant eat anything i have become very weak
impetigo,i have a fever and a headache i have sores near my nose and rashes on my neck im really struggling right now
psoriasis,i have a red itchy rash on my face especially around my nose mouth and eyes my nails are also inflamed
pneumonia,ive been having a fever for a few days and its been getting worse im having trouble breathing and im coughing up a lot of phlegm im also feeling really tired and weak
impetigo,i have a rash on my face that is red itchy and painful it is also blistering i have also been experiencing flulike symptoms such as fever and body pain
gastroesophageal reflux disease,i have heartburn and indigestion i frequently vomit everything i eat and it is hard for me to swallow since food gets caught in my throat my upper abdomen is in discomfort
drug reaction,ive been having mood swings and my monthly cycle has changed ive also had some unexpected vaginal discharge
jaundice,i have been feeling very sick i have been vomiting i have a fever and i have been itching all over my skin has turned yellow and my urine is dark i have also been having abdominal pain
diabetes,ive been feeling really thirsty and hungry lately i also feel really tired sometimes
malaria,ive been having a fever for a few days now and its been getting worse im also really itchy and ive been throwing up i feel really weak and tired and my head hurts my muscles are also really sore
bronchial asthma,ive been having a hard time breathing ive been coughing a lot and im coughing up a lot of thick sticky mucus ive also been feeling really tired and weak
chicken pox,i have a fever and red spots all over my body i feel really tired and i dont want to eat anything im worried about whats wrong with me
gastroesophageal reflux disease,i have a lot of heartburn and acid reflux i also feel sick after eating and sometimes throw up
varicose veins,i have these cramps in my calves that are really painful they come on suddenly and last for several minutes theyre making it hard for me to walk and do my daily activities
hypertension,ive been having a headache all day and i feel sick to my stomach im also having trouble concentrating and focusing on my work
urinary tract infection,ive been having to pee a lot and it hurts when i do sometimes i see blood in my pee and it smells really bad im worried that i have an infection what should i do
arthritis,ive been having stiffness and weakness in my neck muscles lately my joints have gotten stiff so its hard for me to run without getting stiff walking has also been uncomfortable
dengue,i have a fever and my back hurts i also have rashes on my arms and armpits the back of my eyeballs hurt a lot im worried about my health
gastroesophageal reflux disease,i have a burning sensation in my chest and throat and i often feel like i have to clear my throat i also have bad breath and a bad taste in my mouth
common cold,ive been coughing a lot and im freezing my nose is stuffed up and my face hurts ive also been coughing up some nasty stuff my chest hurts and my muscles hurt i cant smell anything
varicose veins,i have these large bulging veins on my legs that are really painful theyre really visible and im worried about them
migraine,ive been having headaches blurred vision and acid reflux these symptoms have been disturbing me and interfering with my usual activities
drug reaction,i have trouble focusing and remembering things i feel like i have brain fog
drug reaction,i have been feeling very sick lately i have been having chest pain and i feel very nauseous i also sweat a lot
gastroesophageal reflux disease,i have a burning sensation in my throat especially after i eat i also sometimes get a sour or bitter taste in my mouth which makes me feel sick
arthritis,my neck muscles have been tight and weak lately ive also been having trouble running and walking because my joints are stiff
arthritis,ive been feeling really weak in my muscles and my neck has been really stiff my joints have been swelling up and its hard for me to move around without feeling stiff walking has been really painful too
migraine,ive been feeling really grumpy and gloomy lately and ive also noticed a change in my vision i think it might be a migraine
peptic ulcer disease,ive lost a lot of blood and iron because of my bloody stools and now i have anaemia and feel weak
migraine,i have been experiencing headaches blurred and distorted vision and visual disturbance these symptoms have been affecting my daily life and causing me discomfort
psoriasis,i have thick scaly skin on my palms and soles the skin is also cracked and painful
hypertension,ive been having headaches chest pain and dizziness ive also been having trouble concentrating and focusing on my tasks
jaundice,i have been feeling really sick lately i have been vomiting and have a high fever my skin has turned yellow and my urine is dark i have also been experiencing abdominal pain i am worried that i might have something serious
drug reaction,i feel like im going to pass out when i have a fever my head is spinning and my heart is racing i cant think straight and everything is blurry
fungal infection,i have a rash that is spreading all over my skin and it is very itchy i also have some discolored spots and little bumps all over my skin
malaria,ive been having a high fever chills and intense itching i also have a headache and im sweating a lot ive been feeling nauseous and my muscles are aching
hypertension,ive been having a headache and chest pain ive also been feeling dizzy and unstable im also having problems focusing
cervical spondylosis,i have been having a lot of pain in my back and neck i also have a cough that produces phlegm and i feel weak and dizzy
fungal infection,i have red bumpy areas on my skin that are itchy i also have some bumps that resemble little lumps and some spots that are a different shade of skin than the rest of my body
chicken pox,i have small red bumps on my arms and face they are itchy and make my day very uncomfortable
dengue,i have a high fever and a severe headache my body aches and i feel chills every night i also have a pain behind my eyes
gastroesophageal reflux disease,i have a lot of heartburn and indigestion especially after i eat spicy or fatty foods when i lie down or bend over my chest discomfort gets worse my chest hurts a lot
hypertension,i have been having headaches chest pains and dizziness i also feel like im losing my balance and i cant focus
psoriasis,i have dry scaly patches of skin on my knees elbows and scalp these patches are often itchy and sometimes painful
pneumonia,ive been feeling really sick for the past few days i have a high fever shortness of breath and im coughing up a lot of sputum im also sweating feeling chills and im really tired
psoriasis,i have been experiencing a lot of itching and redness on my skin i have also noticed that my nails are becoming brittle and have started to develop dents i am worried that this could be a sign of something more serious
hypertension,ive been feeling unwell for a while now i have a headache chest pain and i feel unstable and have balance issues i also have trouble focusing
bronchial asthma,ive been having a hard time breathing lately i feel like i cant get enough air and im always coughing ive also been really tired and ive been coughing up a lot of mucus im not sure whats wrong with me but im really worried
peptic ulcer disease,i have been having bloody stools for a while now and i feel very weak and tired i think i might have lost a lot of blood
diabetes,i have to pee a lot and its hard to hold it in i feel dizzy and confused i cant see very well
impetigo,i have a rash on my face especially around my nose its red and painful and there are some yellow sores that are oozing
psoriasis,i have been experiencing a red itchy scaly rash on my arms legs and torso for the past few weeks
typhoid,i have had diarrhea for a few days now it is very watery and smells bad i also have a severe headache and feel like vomiting
hypertension,ive been having chest pains headaches and dizziness
fungal infection,i have a rash that is itchy and red it is also bumpy and has some patches that are a different color than the rest of my skin i have also had some pimples that resemble little balls
fungal infection,ive been experiencing a lot of itching which has been accompanied with a rash that appears to be growing worse over time there are also certain areas of skin that are different colours from the rest and ive spotted several lumps that resemble little nodes
hypertension,ive been having headaches chest pain dizziness and trouble concentrating im also feeling off balance
varicose veins,i have noticed that my legs are swollen and the blood vessels are visible i have swollen legs and i can see a stream of swollen veins on my calves
fungal infection,ive been itching a lot recently and my skin is covered in rashy patches there are also some areas where my skin doesnt look like its normal color and ive had some painful lumps
cervical spondylosis,ive been having a lot of pain in my neck and back and my arms and legs are numb ive also been having problems with my balance and vertigo
varicose veins,i have some red and inflamed skin on my legs i think i can see some of the swollen blood vessels im really worried about it
pneumonia,im having trouble breathing and im sweating a lot i have a lot of mucous in my throat and i feel sick my chest hurts and my heart is racing im coughing up red mucus
jaundice,ive been feeling really sick ive had a fever ive been losing weight and ive been feeling really tired my skin and my urine have turned yellow and ive been having stomach pain
jaundice,ive been feeling really sick ive been throwing up and im itchy ive also lost a lot of weight and im exhausted my skin has turned yellow and my fever is high i also have stomach ache and my urine is dark
gastroesophageal reflux disease,i have a feeling of food or acid backing up into my throat i have chest pain which gets worse if i lie down i get frequent heartburn or indigestion after eating food and vomit it out
hypertension,ive been having headaches and chest pain for a few days now and today i also started to feel dizzy and lightheaded
arthritis,i have been experiencing muscle weakness and stiffness in my neck as well as swelling in my joints this makes it difficult for me to walk around without feeling stiff and uncomfortable
typhoid,i have been having a high fever for the past few days it is especially bad at night i also have a mild headache and have been constipated and having diarrhea
jaundice,i have been feeling very sick i have been vomiting i have no energy and i have lost weight my skin is yellow and my urine is dark i have also been having abdominal pain
psoriasis,i have been having pain in my joints and i have noticed that my skin is peeling in different places i am worried that something is wrong with me
impetigo,i have been having a fever for a few days and now i have sores near my nose the sores are painful and i feel uncomfortable
drug reaction,i have hair loss and there is a significant change in the texture of my hair i have dry and itchy sclap and increased dandruff my skin is also getting very dry i think it might be because of the medication im taking
impetigo,i have been feeling really tired and i have a fever i have a rash on my face and it is very itchy i cant sleep because of the rash
impetigo,i have a fever and my nose is sore there are red sores on my nose that are painful and have yellow stuff coming out of them
allergy,i have a stuffy nose and nasal congestion i sometimes have a stiff neck and chest discomfort at night i cant taste or smell anything
chicken pox,i have a lot of tiny red spots all over my face and neck area they are itchy and make my day very uncomfortable
migraine,ive been having recurrent headaches and blurred vision i also have acid reflux and trouble digesting my food
chicken pox,ive been feeling really sick lately i have a fever swollen lymph nodes and a headache i dont feel like eating anything and im really weak and tired its hard for me to concentrate on my daily life
cervical spondylosis,i have been having back pain for a while now its been getting worse lately i also have a cough that wont go away ive been feeling weak in my arms and legs my neck hurts and ive been feeling dizzy and off balance
chicken pox,i have a rash with little bumps that are itchy and painful i also have a fever and feel tired
migraine,i have been experiencing a lot of headaches and my vision has been blurry i have also been having trouble digesting my food and i feel like i have acid reflux
diabetes,i have a lot of skin irritations and rashes especially in the creases of my skin any wounds or bruises i have on my skin also heal very slowly
gastroesophageal reflux disease,i often have a burning sensation in my throat especially after eating i also sometimes get a bitter or sour aftertaste that makes me feel sick
chicken pox,i have rashes on my skin that are itchy and i have a fever i dont know whats causing it
drug reaction,ive been feeling really dizzy and disoriented lately and ive also noticed that my sex drive has decreased im also having a hard time thinking clearly
common cold,ive been sneezing and coughing for a few days now im also feeling really tired and weak my fever is pretty high
allergy,i have trouble breathing and i get out of breath easily my eyes hurt and i have a dry hacking cough my face and body are swollen
arthritis,my muscles are weak and my neck is stiff my joints are swollen which makes it hard for me to walk without feeling stiff walking is also uncomfortable
typhoid,im having a really bad stomach ache and diarrhea i also have a fever and a headache the last few days have been really unpleasant
hypertension,ive been having headaches chest pain dizziness and trouble standing up straight i also feel like i cant concentrate as well as i used to
bronchial asthma,im so tired and weak and my fever is really high its been hard to deal with all of these symptoms and ive also been coughing up a lot of mucus im getting really frustrated
dengue,i have been experiencing muscle pain and headache the muscle pain is like a constant ache that is worse when i try to use the affected muscles i also have small red spots developing on my face neck and arms
hypertension,ive been having headaches and chest pain for a while now and its been getting worse i also feel dizzy and lightheaded sometimes im not sure whats going on but im worried
hypertension,i have been feeling dizzy and lightheaded and i have also had trouble keeping my balance i have also had a headache that has not gone away
diabetes,i have a wound that is not healing well my hands and feet are numb and tingling
chicken pox,i have a bunch of red spots all over my body they are itchy and starting to swell i think they are spreading
urinary tract infection,i have a burning sensation when i pee and my lower abdomen hurts i also have a low temperature and feel weak
gastroesophageal reflux disease,i have a hard time swallowing and i feel full even after eating a small meal i also have heartburn nausea and a tingling sensation in my throat
migraine,i have been having headaches and distorted vision excessive hunger a stiff neck depression irritability and visual disturbance
fungal infection,i have a lot of itchy bumps on my skin that sometimes turn red or rough i also have some strange pimples that look like little balls and some weird spots that are a different color than the rest of my skin
jaundice,ive been feeling really tired and sick to my stomach ive also been losing weight and have a fever my urine is dark and my skin has turned yellow ive also been having stomach pain
